Research name,Publication Title,Author List,Conf/Journal Details,Year,ISBN,ISSN,Item Type,Event Type,Refereed,Date of Award,Supervisor(s),Uncontrolled Keywords,Subject,DCU Faculties and Centres,Use License,ID Code,Deposited On,Published in,Publisher,Official URL,Copyright Information,Funders,Additional Information,Tweets,Mendeley Readers
Suzanne Little,SAVASA project @ TRECVID 2012: interactive surveillance event detection.,"Little, Suzanne, Jargalsaikhan, Iveel, Clawson, Kathy, Li, Hao, Nieto, Marcos, Direkoglu, Cem, O'Connor, Noel E., Smeaton, Alan F., Rodriguez, Aitor, Sanchez, Pedro, Villarroel Peniza, Karina, Martinez Llorens, Ana, Gimenez, Roberto, Santos de la Camara, Raul, Mereu, Anna","Text REtrieval Conference Video (TRECVid) Workshop, 26-28 Nov 2012 , Gaithersburg, Maryland, USA.",2012,,,Conference or Workshop Item (Paper),Workshop,No,,,TRECVid; interactive surveillance event detection,Computer Science > Machine learning. Computer Science > Multimedia systems. Computer Science > Information retrieval. Computer Science > Digital video. ,Research Initiatives and Centres > CLARITY: The Centre for Sensor Web Technologies,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,17859,05 Mar 2013 11:56 by  Suzanne Little. Last Modified 22 Oct 2018 15:00,,,http://www-nlpir.nist.gov/projects/tvpubs/tv.pubs.12.org.html,,"CLARITY, EU FP7 project SAVASA (285621)",,,
Silvana Togneri Mac Mahon,Improving communication in risk management of health information technology systems by means of medical text simplification.,"MacMahon, Silvana Togneri, Alfano, Marco, Lenzitti, Biagio, Lo Bosco, Giosuè, McCaffery, Fergal, Taibi, Davide, Helfert, Markus","4th IEEE Workshop on ICT Solutions for eHealth, 30 June 2019, Barcelona, Spain. (In Press)",2020,,,Conference or Workshop Item (Paper),Conference,Yes,,,Patient Empowerment; Health Information Seeking; User Requirements; Risk Management; IEC 80001-1; Medical Terminology Simplification;,Business > Knowledge management. Computer Science > Computer networks. Computer Science > Computer security. Computer Science > Information retrieval. Computer Science > Information technology. Computer Science > Interactive computer systems. Computer Science > Machine learning. Computer Science > Machine translating. Computer Science > World Wide Web. Medical Sciences > Health. Social Sciences > Communication. Social Sciences > Educational technology. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,23899,01 Nov 2019 12:42 by  Marco Alfano. Last Modified 24 Jun 2020 12:51,2019 IEEE Symposium on Computers and Communications (ISCC)..  Institute of Electrical and Electronics Engineers Inc. (IEEE).,Institute of Electrical and Electronics Engineers Inc. (IEEE),http://dx.doi.org/10.1109/ISCC47284.2019.8969670,©2019 The Authors,"European Union’s Horizon 2020 research and innovation programme under the Marie Skłodowska-Curie grant agreement No 754489, Science Foundation Ireland grant 13/RC/2094 with a co-fund of the European Regional Development Fund through the Southern & Eastern Regional Operational Programme to Lero - the Irish Software Research Centre",,,
Andrew McCarren,Benchmarking algorithms for genomic prediction of complex traits.,"Azodi, Christina B., McCarren, Andrew, Roantree, Mark, Gustavo, de los Campos, Shiu, Shin-Han","G3: Genes, Genomes, Genetics, 9 (11). pp. 3691-3702",2019,,2160-1836,Article (Published),,Yes,,,,Biological Sciences > Biology. Biological Sciences > Genetics. Computer Science > Artificial intelligence. Computer Science > Machine learning. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,,23439,16 Jun 2020 13:57 by  Andrew Mccarren. Last Modified 16 Jun 2020 13:57,,Genetics Society of America,https://doi.org/10.1534/g3.119.400498,© 2019 The Authors.  CC-BY-NC-ND 4.0,"National Science Foundation Graduate Research Fellowship (Fellow ID: 2015196719)(USA), Graduate Research Opportunities Abroad (GROW) Fellowship to C.B.A, U.S. Department of Energy Great Lakes Bioenergy Research Center (BER DE-SC0018409), National Science Foundation (IOS-1546617, DEB-1655386) (USA), National Institute of Health (R01GM099992, R01FM101219) (USA)",,,
Dongyun Nie,Detecting Multi-Relationship Links in Sparse Datasets.,"Nie, Dongyun, Roantree, Mark","21st International Conference on Enterprise Information Systems (ICEIS 2019, 3-5 May 2019, Heraklion, Greece",2019,978-989-758-372-82,,Conference or Workshop Item (Paper),Conference,Yes,,,Record Linkage; Relationships; Customer Knowledge,UNSPECIFIED,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,22990,16 May 2019 09:45 by  Dongyun Nie. Last Modified 10 Jan 2020 13:44,Proceedings of the 21st International Conference on Enterprise Information Systems (ICEIS 2019..  ICEIS. ISBN 978-989-758-372-82,ICEIS,http://dx.doi.org/10.5220/0007696901490157,© 2019 The Authors,Science Foundation Ireland under grant number SFI/12/RC/2289,,,
Dimitar Shterionov,Combining SMT and NMT back-translated data for efficient NMT.,"Poncelas, Alberto, Popović, Maja, Shterionov, Dimitar, Maillette de Buy Wenniger, Gideon, Way, Andy","Recent Advances in Natural Language Processing (RANLP 2019), 2-4 Sept 2019, Varna, Bulgaria.",2019,,,Conference or Workshop Item (Paper),Conference,Yes,,,,Computer Science > Computational linguistics. Computer Science > Machine translating. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > ADAPT. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,24272,11 Mar 2020 10:14 by  Alberto Poncelas. Last Modified 25 May 2020 16:09,Proceedings of the International Conference on Recent Advances in Natural Language Processing (RANLP 2019)..  INCOMA Ltd.,INCOMA Ltd,http://dx.doi.org/10.26615/978-954-452-056-4_107,© 2019 the Authors,"SFI Research Centres Programme (Grant 13/RC/2106), European Regional Development Fund, European Regional Development Fund, European Union’s Horizon 2020 research and innovation programme under the Marie Skłodowska-Curie grant agreement No 713567.",,,
Dimitar Shterionov,Investigating backtranslation in neural machine translation.,"Poncelas, Alberto, Shterionov, Dimitar, Way, Andy, Maillette de Buy Wenniger, Gideon, Passban, Peyman","21st Annual Conference of The European Association for Machine Translation, 28-30 May 2018, Alicante, Spain.",2018,,,Conference or Workshop Item (Lecture),Conference,Yes,,,Machine Translation; Statistical Machine Translation;  Neural Machine Translation,UNSPECIFIED,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > ADAPT. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,22881,19 Dec 2018 12:43 by  Gideon Maillette De buy. Last Modified 01 May 2020 13:34,Proceedings of the 21st Annual Conference of the European Association for Machine Translation..,,http://dx.doi.org/10.18653/v1/W18-64015,©2018 the Authors,,,,
Dimitar Shterionov,Selecting Backtranslated Data from Multiple Sources for Improved Neural Machine Translation.,"Soto, Xabier, Shterionov, Dimitar, Poncelas, Alberto, Way, Andy","Annual Conference of the Association for Computational Linguistics, ACL, 5-10 July 2020, Seattle, WA, USA (Online).",2020,,,Conference or Workshop Item (Paper),Conference,Yes,,,,Computer Science > Machine translating,UNSPECIFIED,,24425,25 Jun 2020 15:47 by  Alberto Poncelas. Last Modified 25 Jun 2020 15:47,Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics..  Association for Computational Linguistics (ACL).,Association for Computational Linguistics (ACL),https://www.aclweb.org/anthology/2020.acl-main.359.pdf,© 2020 The Authors,"Spanish Ministry of Economy and Competitiveness (MINECO) FPI grant number BES-2017-081045, Science Foundation Ireland (SFI)  Research Centres Programme (Grant No. 13/RC/2106), European Regional Development Fund",,,
Dimitar Shterionov,Large-scale machine translation evaluation of the iADAATPA project.,"Castilho, Sheila, Resende, Natalia, Gaspari, Federico, Way, Andy, O'Dowd, Tony, Mazur, Marek, Herranz, Manuel, Helle, Alex, Ramirez-Sanchez, Gema, Sanchez-Cartagena, Victor, Pinnis, Marcis, Sics, Valters","MT Summit XVII, 19-23 Aug 2019, Dublin, Ireland.",2019,,,Conference or Workshop Item (Paper),Conference,Yes,,,,Computer Science > Machine translating,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > ADAPT. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,23863,21 Oct 2019 12:30 by  Andrew Way. Last Modified 15 Jun 2020 11:10,"Forcada, Mikel and Way, Andy and Tinsley, John and Shterionov, Dimitar and Rici, Celia and Gaspari, Federico, (eds.)Proceedings of MT Summit XVII.2.  European Association for Machine Translation.",European Association for Machine Translation,https://www.aclweb.org/anthology/W19-6732.pdf,© 2018 The authors.,"INEA through grant N ◦ 2016-EU-IA-0132 as part of the EU’s CEF Telecom Programme, ADAPT Centre for Digital Content Technology at Dublin City University is funded under the Science Foundation Ireland Research Centres Programme (Grant 13/RC/ 2106) and is co-funded under the European Regional Development Fund.",,,
Alan F. Smeaton,PANEL: Challenges for multimedia/multimodal research in the next decade.,"Chang, Shih-Fu, Morency, L. P., Hauptmann, Alexander, Del Bimbo, Alberto, Gurrin, Cathal, Hung, Haley, Heng, Ji, Smeaton, Alan F.","27th ACM International Conference on Multimedia, 21–25 Oct 2019, Nice, France",2019,978-1-4503-6889-6,,Conference or Workshop Item (Paper),Conference,No,,,"Multimedia research; long-term outlook; future challenges and
opportunities.",Computer Science > Image processing. Computer Science > Information retrieval. Computer Science > Multimedia systems. Computer Science > Digital video. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,24198,10 Feb 2020 16:52 by  Cathal Gurrin. Last Modified 02 Sep 2020 17:01,MM '19: Proceedings of the 27th ACM International Conference on Multimedia..  Association for Computing Machinery. ISBN 978-1-4503-6889-6,Association for Computing Machinery,https://doi.org/10.1145/3343031.3351494,© 2019 The Authors,National Science Foundation for its support of this effort under Grant No. IIS1735591,,,
Alan F. Smeaton,PANEL: challenges for multimedia/multimodal research in the next decade.,"Chang, Shih-Fu, Morency, L.P., Hauptmann, Alexander, Del Bimbo, Alberto, Gurrin, Cathal, Hung, Hayley, Ji, Heng, Smeaton, Alan F.","27th ACM International Conference on Multimedia (MM'19), 21-25 Oct 1919, Nice, France",2019,978-1-4503-6889-6,,Conference or Workshop Item (Paper),Conference,Yes,,,future challenges; long-term outlook; future opportunities; multimedia research,Computer Science > Multimedia systems,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,24669,22 Jun 2020 16:19 by  Cathal Gurrin. Last Modified 22 Jun 2020 16:19,Proceedings of the 27th ACM International Conference on Multimedia (MM ’19)..  Association for Computing Machinery (ACM). ISBN 978-1-4503-6889-6,Association for Computing Machinery (ACM),https://doi.org/10.1145/3343031.3351494,© 2019 The Authors,National Science Foundation for its support of this effort under Grant No. IIS1735591.,,,
